"V2" "V3" "V4"
"HMEL017231g1" 234 872 937
"HMEL016555g1" 146 599 561
"HMEL016411g1" 105 356 415
"HMEL015259g1" 126 336 303
"HMEL010572g1" 3 10 6
"HMEL002086g1" 0 5 14
"HMEL034770g1" 0 1 1
"HMEL033474g1" 0 0 0
"HMEL033330g1" 0 0 0
"HMEL032178g1" 18 110 56
"HMEL032034g1" 1 1 0
"HMEL002086g2" 0 0 4
"HMEL002086g3" 0 0 0
"HMEL003435g1" 0 0 0
"HMEL003579g1" 235 700 565
"HMEL004875g1" 0 2 5
"HmelGSTe1" 0 19 2
"HMEL034967g1" 0 0 0
"HMEL034823g1" 0 0 0
"HMEL033527g1" 8 54 13
"HMEL032707g1" 0 6 1
"HMEL021650g1" 59 419 363
"HMEL015280g1" 0 0 0
"HmelGSTe2" 4 27 113
"HMEL038182g1" 2 53 26
"HMEL030083g1" 0 0 0
"HmelGSTe3" 461 924 1587
"HmelGSTe4" 243 705 870
"HMEL004928g1" 0 0 1
"HmelGSTe5" 139 335 315
"HMEL016773g1" 252 1144 999
"HMEL014657g1" 151 618 590
"HMEL013217g1" 398 1442 1351
"HMEL000044g1" 137 576 399
"HMEL002160g1" 21 157 117
"HmelGSTe6" 108 336 179
"HMEL032872g1" 293 975 1112
"HMEL031576g1" 170 471 441
"HMEL031432g1" 1 22 4
"HMEL030136g1" 0 6 13
"HmelGSTe7" 16 53 38
"HMEL032925g1" 52 362 34
"HMEL030809g1" 0 0 0
"HMEL018069g1" 57 167 192
"HMEL012086g1" 2 1 1
"HMEL011266g1" 58 110 18
"HMEL011122g1" 217 747 598
"HMEL037580g1" 25 101 100
"HMEL036284g1" 3 2 14
"HMEL036140g1" 0 0 0
"HMEL013911g1" 43 160 233
"HMEL012615g1" 0 0 3
"HMEL007685g1" 141 633 691
"HMEL007541g1" 1 3 6
"HMEL006245g1" 81 258 205
"HMEL037777g1" 1 1 0
"HMEL037633g1" 6628 16588 13415
"HMEL036337g1" 0 0 0
"HMEL030974g1" 0 2 0
"HMEL030830g1" 243 566 417
"HMEL011484g1" 4 23 91
"HMEL011340g1" 232 607 665
"HMEL035682g1" 1 23 5
"HMEL034386g1" 5 95 46
"HMEL034242g1" 308 1675 1303
"HMEL011340g2" 0 1 0
"HMEL011340g3" 36 137 221
"HMEL011340g4" 110 467 515
"HMEL010717g1" 153 599 562
"HMEL005787g1" 1 13 2
"HMEL004347g1" 407 1612 1108
"HMEL035879g1" 0 0 0
"HMEL035735g1" 0 0 0
"HMEL034439g1" 353 2484 2207
"HMEL033619g1" 2 1 0
"HMEL016192g1" 1 16 7
"HMEL032291g1" 0 0 0
"HMEL017685g1" 627 1301 1074
"HMEL017541g1" 139 650 619
"HMEL016865g1" 78 420 487
"HMEL015425g1" 67 284 219
"HMEL009055g1" 4409 10827 17609
"HMEL033784g1" 8 41 45
"HMEL033640g1" 177 396 480
"HMEL032488g1" 61 360 326
"HMEL032344g1" 1 8 17
"HMEL032200g1" 10 58 17
"HMEL031048g1" 5 28 45
"HMEL017685g2" 94 368 416
"HMEL009108g1" 290 1207 1097
"HMEL003745g1" 8 19 24
"HMEL002305g1" 147 717 518
"HMEL001009g1" 12 84 101
"HmGr38_1" 0 0 0
"HMEL033837g1" 195 688 694
"HMEL021960g1" 20 94 68
"HMEL001009g2" 0 3 1
"HMEL037196g1" 35 114 94
"HMEL037052g1" 0 0 0
"HMEL030393g1" 44 153 154
"HMEL011910" 388 1559 1925
"HMEL001009g3" 0 6 1
"HMEL001009g4" 103 307 418
"HMEL014967g1" 1 6 20
"HMEL013527g1" 29 130 158
"HMEL037249g1" 34 151 128
"HMEL037105g1" 0 0 2
"HMEL031886g1" 0 0 0
"HMEL031742g1" 0 0 0
"HMEL030446g1" 0 0 0
"HMEL030302g1" 0 0 0
"HMEL013527g2" 0 0 0
"HMEL009946g1" 540 1526 1355
"HMEL013692g1" 260 1341 1225
"HMEL012396g1" 65 254 197
"HMEL012252g1" 2 11 10
"HMEL037890g1" 143 761 669
"HMEL036594g1" 0 0 0
"HMEL036450g1" 4 1 1
"HMEL035298g1" 133 442 382
"HMEL035154g1" 48 208 110
"HMEL035010g1" 0 3 2
"HMEL012925g1" 95 325 331
"HMEL011629g1" 0 1 0
"HMEL007995g1" 33 72 114
"HMEL006555g1" 275 672 587
"HMEL006699g1" 7766 22971 20209
"HMEL005115g1" 458 2871 1096
"HMEL037943g1" 27 259 321
"HMEL036647g1" 0 0 0
"HMEL036503g1" 0 0 2
"HMEL035207g1" 3 10 10
"HMEL022178g1" 107 201 301
"HMEL006699g2" 3 41 20
"HMEL007904g1" 25 151 33
"HMEL016337g1" 73 347 353
"HMEL011794g1" 138 663 674
"HMEL011650g1" 583 3657 4097
"HMEL003020g1" 14 5 105
"HMEL003164g1" 1 2 3
"HMEL035992g1" 0 0 33
"HMEL034696g1" 0 0 0
"HMEL034552g1" 1 0 6
"HMEL033256g1" 1 13 2
"HMEL033112g1" 15 36 114
"HMEL016337g2" 33 118 155
"HMEL011794g2" 6 33 4
"HMEL003164g2" 162 611 651
"HMEL016337g3" 95 381 404
"HMEL011794g3" 219 760 666
"HMEL016337g4" 0 2 1
"HMEL016337g5" 0 1 0
"HMEL003217g1" 232 1072 687
"HMEL035901g1" 5 3 2
"HMEL034749g1" 4 0 2
"HMEL034605g1" 128 290 184
"HMEL021576g1" 41 156 192
"HMEL021432g1" 61 104 172
"HMEL016337g6" 0 0 0
"HMEL015062g1" 1 2 0
"HMEL031161g1" 0 0 0
"HMEL021432g2" 40 90 135
"HMEL020809g1" 4241 11901 14907
"HMEL015879g1" 634 3492 3601
"HMEL009221g1" 4 35 4
"HMEL003382g1" 0 0 0
"HMEL002562g1" 92 514 534
"HMEL038017g1" 107 475 404
"HMEL033950g1" 1 2 0
"HMEL032798g1" 262 1345 1138
"HMEL032654g1" 3 26 18
"HMEL032510g1" 106 368 318
"HMEL031358g1" 0 0 0
"HMEL031214g1" 5 17 21
"HMEL003382g2" 0 0 0
"HMEL009418g1" 25 180 151
"HMEL003911g1" 10 25 34
"HMEL002615g1" 144 541 529
"HMEL013164g1" 561 2030 3504
"HMEL011048g1" 138 738 689
"HMEL008090g1" 39 171 347
"HMEL003911g2" 0 1 0
"HMEL037362g1" 0 0 0
"HMEL036066g1" 1 0 0
"HMEL013837g1" 238 866 797
"HMEL008763g1" 137 523 542
"HMEL007467g1" 17 156 246
"HMEL007323g1" 85 332 252
"HMEL037559g1" 132 445 432
"HMEL037415g1" 0 0 0
"HMEL036119g1" 0 0 1
"HMEL030756g1" 0 1 1
"HMEL030612g1" 0 19 13
"HMEL007467g2" 0 0 0
"HMEL017249g1" 9 51 73
"HMEL012562g1" 98 349 441
"HMEL010446g1" 18 107 60
"HMEL010302g1" 125 563 481
"HMEL004076g1" 1 1 0
"HMEL036760g1" 0 0 0
"HMEL035464g1" 0 0 0
"HMEL035320g1" 2 1 1
"HMEL034168g1" 2 20 54
"HMEL034024g1" 0 2 2
"HMEL011939g1" 1200 7159 4526
"HMEL008981g1" 180 580 557
"HMEL006865g1" 108 379 319
"HMEL036957g1" 5 54 44
"HMEL036813g1" 44 148 160
"HMEL035517g1" 12 530 555
"HMEL022344g1" 129 463 332
"HMEL032073g1" 14 48 61
"HMEL016647g1" 0 1 7
"HMEL016503g1" 486 1627 2036
"HMEL015207g1" 0 1 3
"HMEL010664g1" 0 0 0
"HMEL004294g1" 155 512 389
"HMEL003474g1" 20 126 184
"HMEL005590g1" 5 22 13
"HMEL034862g1" 394 2230 1288
"HMEL033566g1" 0 0 0
"HMEL033422g1" 42 186 103
"HMEL032126g1" 9 12 7
"HMEL003474g2" 1 2 12
"HMEL003527g1" 566 1826 2779
"HMEL034915g1" 83 362 369
"HMEL021742g1" 0 0 0
"HMEL020446g1" 212 1353 1391
"HMEL038130g1" 169 486 539
"HMEL031471g1" 0 0 0
"HMEL030175g1" 0 5 0
"HMEL030031g1" 5 60 34
"HMEL014605g1" 6644 16787 12250
"HMEL009531g1" 437 1764 2161
"HMEL008379g1" 20 55 37
"HMEL008235g1" 18 83 108
"HmIR75q2_1" 38 195 78
"HMEL032964g1" 0 1 0
"HMEL032820g1" 0 1 0
"HMEL031668g1" 919 4601 3615
"HMEL031524g1" 0 1 0
"HMEL030228g1" 0 0 0
"HMEL002925g1" 308 1126 420
"HMEL018017g1" 469 2350 1454
"HMEL014770g1" 0 0 0
"HMEL013474g1" 98 706 769
"HMEL011358g1" 55 344 304
"HMEL011214g1" 1858 5666 4756
"HMEL037672g1" 214 761 593
"HMEL036376g1" 10 26 31
"HMEL036232g1" 0 0 0
"HMEL012707g1" 15 138 238
"HMEL037869g1" 0 0 0
"HMEL037725g1" 47 217 136
"HMEL036429g1" 0 2 0
"HMEL035609g1" 105 395 389
"HMEL030922g1" 1651 7743 6915
"HMEL034281g1" 0 0 0
"HMEL017415g1" 55 239 190
"HMEL016119g1" 521 2098 2118
"HMEL011576g1" 154 479 335
"HMEL011432g1" 32 149 116
"HMEL010756g1" 159 558 421
"HMEL010612g1" 42 220 262
"HMEL004242g1" 260 1703 1049
"HMEL005062g1" 27 81 94
"HMEL035774g1" 0 0 0
"HMEL035630g1" 0 2 7
"HMEL034478g1" 0 2 0
"HMEL034334g1" 0 0 0
"HMEL033038g1" 0 0 0
"HMEL010809g1" 136 629 591
"HMEL005879g1" 100 354 280
"HMEL004439g1" 222 1107 1131
"HMEL035827g1" 0 0 0
